TIMESLICE,YEAR,REGION,TECHNOLOGY,MODE_OF_OPERATION,VALUE
S01B1,2015,REGION1,DKBM00X00,1,2.013657102204288
S01B1,2015,REGION1,DKCO00I00,1,1.9087072532463156
S01B1,2015,REGION1,DKCOCHPH3,1,0.508006175526541
S01B1,2015,REGION1,DKNG00X00,1,0.18953514118048811
S01B1,2015,REGION1,DKNGCCPH2,1,0.04000665559993335
S01B1,2015,REGION1,DKWSCHPH2,1,0.3227351007726482
S01B1,2015,REGION1,DKWSSTPH1,1,0.03815423961845751
S01B1,2015,REGION1,FIBM00X00,1,0.015008899126710969
S01B1,2015,REGION1,FICO00I00,1,4.214717550374508
S01B1,2015,REGION1,FING00I00,1,2.3858464641258896
S01B1,2015,REGION1,FINGCCPH2,1,0.7243775927562224
S01B1,2015,REGION1,FINGCHPH3,1,0.4537197322112591
S01B1,2015,REGION1,FINGFCFH1,1,2.7647999723519935e-05
S01B1,2015,REGION1,FINUG2PH3,1,3.926015960739831
S01B1,2015,REGION1,FIUR00I00,1,11.897006165829909
S01B1,2015,REGION1,FIWSCHPH2,1,0.13478399865215968
S01B1,2015,REGION1,FIWSSTPH1,1,3.027866737425288
S01B1,2015,REGION1,NOWSCHPH2,1,0.1157483508425162
S01B1,2015,REGION1,SECO00X00,1,0.25496882342409183
S01B1,2015,REGION1,SECOCHPH3,1,0.0863051407046644
S01B1,2015,REGION1,SENUG2PH3,1,13.680230263197664
S01B1,2015,REGION1,SEUR00I00,1,41.45520176656788
S01B1,2015,REGION1,SEWSCHPH2,1,0.5435403209645955
S01B1,2015,REGION1,SEWSSTPH1,1,0.0056678399433215875
S01B1,2015,REGION1,FIELEEEH1,1,1.4185635698143608
S01B1,2015,REGION1,SEELPLIH1,1,0.8419230635807673
S01B1,2015,REGION1,DKBMSTPH3,1,0.7047806905521914
S01B1,2015,REGION1,DKCOSTPH1,1,0.23639039763609543
S01B1,2015,REGION1,DKEL00TD0,1,4.450533637076362
S01B1,2015,REGION1,DKGO00X00,1,0.2512080916909538
S01B1,2015,REGION1,DKHYDMPH0,1,0.005547571144524275
S01B1,2015,REGION1,DKNGSTPH2,1,0.05183999948159988
S01B1,2015,REGION1,DKWIOFPH3,1,0.7779726416410717
S01B1,2015,REGION1,DKWIONPH3,1,1.7651001651032996
S01B1,2015,REGION1,DKWS00X00,1,1.307532479212672
S01B1,2015,REGION1,FIBMSTPH3,1,0.005253119947468787
S01B1,2015,REGION1,FICOSTPH3,1,1.9387727874541814
S01B1,2015,REGION1,FIEL00TD0,1,14.151251367322944
S01B1,2015,REGION1,FIELNOPH1,2,0.1249089896401813
S01B1,2015,REGION1,FIELSEPH1,2,3.732479962675191
S01B1,2015,REGION1,FIHYDMPH1,1,0.1417060146100755
S01B1,2015,REGION1,FIHYDMPH2,1,1.0281536884627807
S01B1,2015,REGION1,FINGSTPH2,1,0.024330239756697545
S01B1,2015,REGION1,FISOUTPH2,1,3.0967349450326433e-06
S01B1,2015,REGION1,FIWIOFPH3,1,0.014903183267288131
S01B1,2015,REGION1,FIWIONPH3,1,0.29628372721316204
S01B1,2015,REGION1,FIWIONPN3,1,0.189125553206344
S01B1,2015,REGION1,FIWS00X00,1,10.331529054938088
S01B1,2015,REGION1,NOEL00TD0,1,21.939146197262072
S01B1,2015,REGION1,NOHYDMPH1,1,1.9195527236028023
S01B1,2015,REGION1,NOHYDMPH2,1,11.307605594024059
S01B1,2015,REGION1,NOHYDMPH3,1,6.847768315926772
S01B1,2015,REGION1,NOHYDSPH2,1,0.5586278344137203
S01B1,2015,REGION1,NOHYDSPH3,1,0.8570879914291181
S01B1,2015,REGION1,NOWIOFPH3,1,0.002006277099937224
S01B1,2015,REGION1,NOWIONPH3,1,0.4556580995633302
S01B1,2015,REGION1,NOWS00X00,1,4.504972227334894
S01B1,2015,REGION1,SECOSTPH1,1,0.01313279986867197
S01B1,2015,REGION1,SEEL00TD0,1,22.39699291136977
S01B1,2015,REGION1,SEHYDMPH1,1,0.6584645030724405
